# strain(%), strain_el(%), stress(GPa)
0.30000000 0.29777748 0.23097911
0.30040000 0.29795143 0.23111398
0.30080000 0.29885495 0.23181450
0.30120000 0.29900268 0.23192905
0.30160000 0.29943962 0.23226782
0.30200000 0.29978599 0.23253637
0.30240000 0.30011613 0.23279235
0.30280000 0.30045308 0.23305360
0.30320000 0.30093857 0.23343001
0.30360000 0.30127147 0.23368812
0.30400000 0.30162856 0.23396499
0.30440000 0.30215856 0.23437592
0.30480000 0.30220113 0.23440892
0.30520000 0.30288117 0.23493618
0.30560000 0.30330005 0.23526096
0.30600000 0.30376642 0.23562255
0.30640000 0.30412613 0.23590144
0.30680000 0.30432635 0.23605669
0.30720000 0.30545330 0.23693045
0.30760000 0.30545806 0.23693414
