# strain(%), energy_raw(eV), energy(eV)
0.25200000 -22367.63200095 0.03426189
0.25240000 -22367.63162912 0.03433108
0.25280000 -22367.63122384 0.03443324
0.25320000 -22367.63086558 0.03448790
0.25360000 -22367.63048110 0.03456830
0.25400000 -22367.63007284 0.03467200
0.25440000 -22367.62970015 0.03473965
0.25480000 -22367.62934695 0.03478733
0.25520000 -22367.62893492 0.03489336
0.25560000 -22367.62855557 0.03496622
0.25600000 -22367.62815802 0.03505682
0.25640000 -22367.62776472 0.03514268
0.25680000 -22367.62736805 0.03523143
0.25720000 -22367.62696596 0.03532512
0.25760000 -22367.62661357 0.03536863
0.25800000 -22367.62622902 0.03544382
0.25840000 -22367.62582649 0.03553650
0.25880000 -22367.62545237 0.03560031
0.25920000 -22367.62505580 0.03568608
0.25960000 -22367.62466900 0.03576160
0.26000000 -22367.62427452 0.03584432
0.26040000 -22367.62385566 0.03595094
0.26080000 -22367.62347127 0.03602261
0.26120000 -22367.62308496 0.03609572
0.26160000 -22367.62269525 0.03617175
0.26200000 -22367.62230536 0.03624747
0.26240000 -22367.62188175 0.03635644
0.26280000 -22367.62148830 0.03643478
0.26320000 -22367.62109307 0.03651441
0.26360000 -22367.62067968 0.03661171
0.26400000 -22367.62031405 0.03666079
0.26440000 -22367.61990687 0.03675093
0.26480000 -22367.61947975 0.03686053
0.26520000 -22367.61908415 0.03693813
0.26560000 -22367.61869346 0.03701034
0.26600000 -22367.61829517 0.03708967
0.26640000 -22367.61787124 0.03719416
0.26680000 -22367.61747045 0.03727503
0.26720000 -22367.61709768 0.03732740
0.26760000 -22367.61670480 0.03739940
0.26800000 -22367.61626840 0.03751444
0.26840000 -22367.61587045 0.03759054
0.26880000 -22367.61545899 0.03767969
0.26920000 -22367.61505738 0.03775850
0.26960000 -22367.61464679 0.03784580
0.27000000 -22367.61425205 0.03791678
0.27040000 -22367.61383357 0.03801102
0.27080000 -22367.61344015 0.03807973
0.27120000 -22367.61301330 0.03818138
0.27160000 -22367.61261770 0.03825129
0.27200000 -22367.61218854 0.03835429
0.27240000 -22367.61179231 0.03842389
0.27280000 -22367.61135892 0.03853016
0.27320000 -22367.61094838 0.03861310
0.27360000 -22367.61051395 0.03871945
0.27400000 -22367.61014519 0.03875965
0.27440000 -22367.60971217 0.03886363
0.27480000 -22367.60930640 0.03893988
0.27520000 -22367.60886744 0.03904883
0.27560000 -22367.60847952 0.03910627
0.27600000 -22367.60802630 0.03922854
0.27640000 -22367.60762709 0.03929631
0.27680000 -22367.60720445 0.03938702
